Body size,Body weight,Cheeks,Face shape/ chin,Eyes,Lips,Teeth,Skin,Hair,Appetite,Thirst,Digestion,Mind,Voice,Emotions,doshas
Medium,Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Changeable,"Quick, causes burning",Calm,"Deep, good tone","Anxiety, fear, uncertainity",kapha
Medium,Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Healthy, white, strong gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Calm, greedy, attachment",pitta
Slim,Medium,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Surplus,"Irregular, forms gas",Calm,Strong tone,"Calm, greedy, attachment",pitta
Medium,Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anger, hate, jealousy",kapha
Slim,Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Irregular, forms gas",Impatient,Strong tone,"Anger, hate, jealousy",pitta
Slim,Low,wrinkled/sunken,"Rounded, double chin","Big, blue, calm","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Slim,Overweight,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Healthy, white, strong gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Surplus,"Irregular, forms gas",Impatient,Strong tone,"Anger, hate, jealousy",pitta
Large,Low,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Quick, causes burning",Restless,"Weak, hoarse","Anger, hate, jealousy",kapha
Slim,Overweight,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Surplus,"Quick, causes burning",Restless,"Weak, hoarse","Anger, hate, jealousy",pitta
Medium,Medium,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Healthy, white, strong gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Sparse,"Irregular, forms gas",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Large,Overweight,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Quick, causes burning",Calm,Strong tone,"Anxiety, fear, uncertainity",kapha
Medium,Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Irregular, forms gas",Impatient,"Weak, hoarse","Calm, greedy, attachment",vatta
Medium,Overweight,wrinkled/sunken,"Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Surplus,"Irregular, forms gas",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",kapha
Medium,Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Sparse,"Quick, causes burning",Restless,Strong tone,"Anger, hate, jealousy",pitta
Medium,Overweight,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Healthy, white, strong gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anger, hate, jealousy",pitta
Medium,Overweight,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Sparse,"Irregular, forms gas",Impatient,"Weak, hoarse","Anger, hate, jealousy",kapha
Medium,Low,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Slow but steady,Sparse,"Irregular, forms gas",Calm,Strong tone,"Anger, hate, jealousy",pitta
